Game,Date,Team,Home,Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
27,12/10/2018,LAL,1,Michael Beasley\beaslmi01,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,12/10/2018,LAL,1,Moritz Wagner\wagnemo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,12/10/2018,LAL,1,Ivica Zubac\zubaciv01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
27,12/10/2018,LAL,1,Isaac Bonga\bongais01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,12/13/2018,LAL,0,Kyle Kuzma\kuzmaky01,37:03,8,17,.471,1,5,.200,7,7,1.000,1,2,3,5,2,1,2,4,24,-9,.598,.500,.294,.412,3.7,6.6,5.3,19.8,2.8,2.5,9.1,27.5,123,134
28,12/13/2018,LAL,0,LeBron James\jamesle01,36:26,12,18,.667,3,6,.500,2,6,.333,0,5,5,4,2,0,3,1,29,-9,.703,.750,.333,.333,0.0,16.9,8.9,19.4,2.8,0.0,12.7,30.0,122,132
28,12/13/2018,LAL,0,Lonzo Ball\balllo01,34:56,3,9,.333,0,6,.000,1,2,.500,0,3,3,8,1,0,3,3,7,-21,.354,.333,.667,.222,0.0,10.6,5.6,28.3,1.5,0.0,23.3,17.0,86,137
28,12/13/2018,LAL,0,JaVale McGee\mcgeeja01,30:13,5,6,.833,0,0,,1,4,.250,2,3,5,0,1,2,2,3,11,-6,.709,.833,.000,.667,9.1,12.2,10.7,0.0,1.7,6.2,20.5,14.9,112,133
28,12/13/2018,LAL,0,Josh Hart\hartjo01,28:42,6,8,.750,2,3,.667,1,3,.333,1,1,2,1,0,2,1,5,15,-7,.805,.875,.375,.375,4.8,4.3,4.5,5.1,0.0,6.6,9.7,16.6,141,140
28,12/13/2018,LAL,0,Lance Stephenson\stephla01,22:54,7,12,.583,3,5,.600,0,0,,1,2,3,1,1,0,1,2,17,-13,.708,.708,.417,.000,6.0,10.7,8.5,7.4,2.2,0.0,7.7,26.2,129,135
28,12/13/2018,LAL,0,Kentavious Caldwell-Pope\caldwke01,22:01,2,7,.286,1,6,.167,3,5,.600,0,1,1,3,1,0,0,0,8,+6,.435,.357,.857,.714,0.0,5.6,2.9,16.9,2.3,0.0,0.0,19.3,108,137
28,12/13/2018,LAL,0,Tyson Chandler\chandty01,17:42,0,1,.000,0,0,,0,0,,2,6,8,1,0,0,0,3,0,-9,.000,.000,.000,.000,15.5,41.7,29.3,6.3,0.0,0.0,0.0,2.6,126,129
28,12/13/2018,LAL,0,Sviatoslav Mykhailiuk\mykhasv01,9:03,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,-5,.000,.000,1.000,.000,0.0,13.6,7.2,0.0,5.6,0.0,0.0,5.1,0,126
28,12/13/2018,LAL,0,Isaac Bonga\bongais01,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2,0,145
28,12/13/2018,LAL,0,Ivica Zubac\zubaciv01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,12/13/2018,LAL,0,Moritz Wagner\wagnemo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
